Número Interno Cliente,10
Código de Producto,5
Contrato en formatp IBAN,24
Situación del contrato,2
Razón del estado,30
Fecha de la situación,8
Fecha de la formalización,8
Moneda,3
Saldo contable,17
Fecha ultima liquidacion intereses,8
Intereses Liquidados,17
Intereses Devengados No liquidados,17
Fecha próxima liquidación intereses,8
TAE Original,12
TIN Original,12
TAE Actual,12
TIN Actual,12
TIPO DE INTERÉS NOMINAL PROMOCIONAL,12
TIPO INTERÉS NOMINAL PRODUCTO,12
Indicador de periodo promocional,1
Fecha inicio de la promoción,8
Fecha fin de la promoción,8
