Organisation,3
Account Number,19
Plan Date,8
Original Plan Number,5
Multi Scheme Card Logo,3
Promo Reference Number,6
Plan Date Original,8
Filler,9
Plan Number,5
Logo,3
Date Last Maintenance,8
Date Added,8
Due Date,8
Date Payment Requested,8
Payment Amount Requested - sign,1
Payment Amount Requested,17
Payment Amount Fixed - sign,1
Payment Amount Fixed,17
Current Balance Indicator,1
Current Balance - sign,1
Current Balance,17
Total Due - sign,1
Total Due,17
Principal - sign,1
Principal,17
Interest - sign,1
Interest,17
Insurance - sign,1
Insurance,17
Insufficient Funds Fees - sign,1
Insufficient Funds Fees,17
Service Charges - sign,1
Service Charges,17
Late Charges - sign,1
Late Charges,17
Annual Fees - sign,1
Annual Fees,17
Over limit Fees - sign,1
Over limit Fees,17
Recovery Fees - sign,1
Recovery Fees,17
Collection Fees - sign,1
Collection Fees,17
User 1 Fees - sign,1
User 1 Fees,17
User 2 Fees - sign,1
User 2 Fees,17
User 3 Fees - sign,1
User 3 Fees,17
User 4 Fees - sign,1
User 4 Fees,17
User 5 Fees - sign,1
User 5 Fees,17
User 6 Fees - sign,1
User 6 Fees,17
Plan Reference Number,23
Filler,149
