Organisation,3
Account Number,19
Logo,3
Short Name,20
Customer Number,19
Alternate Customer Number Flag,1
Alternate Customer Number,19
User Account Number,19
State of Residence,3
State of Issue,3
Transfer Organisation,3
Transfer Logo,3
Transfer Account,19
Account Type,1
Source,1
Status,1
Charge-off Status,1
Over limit Flag,1
Cycle Over limit Fee Indicator,1
Over limit number of cycles,3
Condition of account,1
Block Code 1,1
Block Code 2 ,1
Card Usage Flag,1
Processing Control Table (PCT) Level,1
PCT Level Start Date,8
PCT Level Expiry Date,8
PCT Control ID,3
PCT Start Date,8
PCT Expiry Date,8
Account Control Table Override,3
Billing Cycle,2
Statement Flag,1
Statement Frequency,2
Return Mail Counter,2
Return Mail User,3
Return Mail Date,8
Originating Bank Number,5
Originating Branch Number,9
Owning Bank Number,5
Owning Branch Number,9
Current Collector,3
Permanent Collector,3
User Code 1,2
User Code 2,2
User Code 3,2
User Code 4,2
User Code 5,2
User Code 6,2
User Code 7,2
User Code 8,2
User Code 9,2
User Code 10,2
User Code 11,2
User Code 12,2
User Code 13,2
User Code 14,2
Owner Flag,1
Employee Code,2
Source Code,20
Promotion Code 1,4
Promotion Code 1 Status,1
Promotion Code 2,4
Promotion Code 2 Status,1
Promotion Code 3,4
Promotion Code 3 Status,1
Promotion Code 4,4
Promotion Code 4 Status,1
Waive Late Charges,1
Waive Interest,1
Waive Service Charge 1,1
Waive Service Charge 2,1
Waive Service Charge 3,1
Waive Service Charge 4,1
Waive Service Charge 5,1
Waive Service Charge 6,1
Waive Service Charge 7,1
Waive Service Charge 8,1
Waive Service Charge 9,1
Waive Service Charge 10,1
Waive Service Charge 11,1
Waive Service Charge 12,1
Waive Service Charge 13,1
Waive Service Charge 14,1
Waive Service Charge 15,1
Waive Service Charge 16,1
Waive Service Charge 17,1
Waive Service Charge 18,1
Waive Service Charge 19,1
Waive Service Charge 20,1
Waive Service Charge 21,1
Waive Service Charge 22,1
Waive Service Charge 23,1
Waive Service Charge 24,1
Waive Service Charge 25,1
Waive Fee Charge,1
Waive Late Notices,1
Waive Over limit Notice,1
Waive Over limit Fee,1
Waive NSF Fee,1
Waive Card Fee,1
Waive Letter Fee,1
Flexible Billing Flag,1
Application Date,8
Opened Date,8
Block Code 1 Date,8
Block Code 2 Date,8
Last Status Change Date,8
Closed Date,8
Charge Off Date,8
Card Fee Date ,8
Card Fee Date – Date First Purchase,8
Last Purchase Date,8
Last Return Date,8
Last Delinquent Date ,8
Prior Delinquent Date,8
Last Accrued Date,8
Last Activity Date ,8
Last Reversed Payment Date,8
Credit Limit Date,8
Previous Credit Limit Date,8
Last Statement Date,8
Next Statement Date,8
Payment Due Date,8
Last Payment Date,8
Credit balance Date,8
Last Returned Cheque Date,8
Last debit date,8
Last Credit Date,8
Last Maintained Date,8
Last rate Change Date,8
Date of Birth,8
User Date 1,8
User Date 2,8
User Date 3,8
User Date 4,8
User Date 5,8
User Date 6,8
User Date 7,8
User Date 8,8
User Date 9,8
User Date 10,8
User Date 11,8
User Date 12,8
User Date 13,8
User Date 14,8
Transfer Effective Date,8
Last Re-Age Date,8
Filler (ACH Authorisation date),8
ACH Effective Date,8
Card Expiration Date,8
Credit Bureau Score – sign,1
Credit Bureau Score,5
Application Credit Score – sign,1
Application Credit Score,5
Miscellaneous Credit Score – sign,1
Miscellaneous Credit Score,5
Credit Limit – sign,1
Credit Limit,17
Last Credit Limit – sign,1
Last Credit Limit,17
High Balance – sign,1
High Balance,17
Income – sign,1
Income,17
Number NSF – sign,1
Number NSF,3
Number Unblocked Cards – sign,1
Number Unblocked Cards,5
Months with Balance,1
Months with Balance,3
Months with Purchases,1
Months with Purchases,3
Payment Ratio 1 – sign,1
Payment Ratio 1,4
Payment Ratio 2 – sign,1
Payment Ratio 2,4
Payment Ratio 3 – sign,1
Payment Ratio 3,4
Payment Ratio 4 – sign,1
Payment Ratio 4,4
Payment Ratio 5 – sign,1
Payment Ratio 5,4
Payment Ratio 6 – sign,1
Payment Ratio 6,4
Payment Ratio 7 – sign,1
Payment Ratio 7,4
Payment Ratio 8 – sign,1
Payment Ratio 8,4
Payment Ratio 9 – sign,1
Payment Ratio 9,4
Payment Ratio 10 – sign,1
Payment Ratio 10,4
Payment Ratio 11 – sign,1
Payment Ratio 11,4
Payment Ratio 12 – sign,1
Payment Ratio 12,4
Delinquency History 1,1
Payment History 1,1
Delinquency History 2,1
Payment History 2,1
Delinquency History 3,1
Payment History 3,1
Delinquency History 4,1
Payment History 4,1
Delinquency History 5,1
Payment History 5,1
Delinquency History 6,1
Payment History 6,1
Delinquency History 7,1
Payment History 7,1
Delinquency History 8,1
Payment History 8,1
Delinquency History 9,1
Payment History 9,1
Delinquency History 10,1
Payment History 10,1
Delinquency History 11,1
Payment History 11,1
Delinquency History 12,1
Payment History 12,1
Delinquency History 13,1
Payment History 13,1
Delinquency History 14,1
Payment History 14,1
Delinquency History 15,1
Payment History 15,1
Delinquency History 16,1
Payment History 16,1
Delinquency History 17,1
Payment History 17,1
Delinquency History 18,1
Payment History 18,1
Delinquency History 19,1
Payment History 19,1
Delinquency History 20,1
Payment History 20,1
Delinquency History 21,1
Payment History 21,1
Delinquency History 22,1
Payment History 22,1
Delinquency History 23,1
Payment History 23,1
Delinquency History 24,1
Payment History 24,1
Payment Days Delinquent – sign,1
Payment Days Delinquent,3
Payment Cycle to date – sign,1
Payment Cycle to date,17
Payment Cycle to Date Number – sign,1
Payment Cycle to Date Number,3
Payment Last Requested – sign,1
Payment Last Requested,17
Payment Skip Flag,1
ACH Payment Flag,1
ACH Debit Type,1
ACH Routing / Transit Number – sign,1
ACH Routing / Transit Number,10
ACH Debit Account Number ,17
