Organization,3
Card Number,19
Chip Sequence Number,2
Card Sequence Number,4
Date Opened ,8
Date last maintained,8
Date expire,8
Program ID (Pending),9
Program ID (Requested),9
Program ID (Actual),9
LCOL Sign,1
LCOL ,3
UCOL Sign,1
UCOL,3
COTC Sign,1
COTC,3
COTCTRY Sign ,1
COTCTRY,3
VS-TAC Sign,1
VS-TAC,13
MC-LCOTA Sign,1
MC-LCOTA,13
MC-UCOTA Sign,1
MC-UCOTA,13
MC-MOTA Sign ,1
MC-MOTA,13
DATE-CARD-ACTIVE,8
VS-VERSION,3
MC-VERSION,3
PIN-TRY-LIMIT,2
OFFLINE-CAM,1
AMEX-VERISON,3
NDCTL-SIGN,1
NDCTL,3
CTTAL SIGN,1
CTTAL,13
CTTAUL-SIGN,1
CTTAUL,13
CCTTALL-SIGN,1
CCTTALL,13
CCTTAUL-SIGN,1
CCTTAUL,13
CNDCTL-SIGN,1
CNDCTL,3
CSTVUL-SIGN,1
CSTVUL,13
CSTVULD-SIGN,1
CSTVULD,13
STVLCDCD-SIGN,1
STVLCDCD,3
Filler,233
