Organization,3
Account Number,19
Offer Identification,10
Date last maintained,8
Operator,3
Type,2
Date added,8
Customer Service Representative identification,20
Priority,5
Enrolment action,1
Enrolment action maintenance date,8
Offer start date,8
Offer expiry date,8
Offer Status,1
Offer Status Maintenance date,8
Enrolment status,1
Campaign code,10
Communication channel,2
Response channel,2
Transaction based pricing priority.,5
Add on product code,2
Insurance effective date,8
Selling branch sort code,10
Seller identification,10
Rpt Priority,1
Eff End Date,8
Auto Fulfill Date,8
Code reject reason,2
Filler,19
