REG-IDEN,30
REG-CODI,3
REG-CLAVDOCU,30
REG-FCAD,8
REG-NUME,10
REG-FIJU,1
REG-SUSE,2
REG-IRPF,1
REG-NOMB,60
REG-APELL1,60
REG-APELL2,60
REG-CLAVDOMI,30
REG-TIPD,2
REG-INDC,1
REG-SIGL,30
REG-CALLE,60
REG-DCOM,40
REG-MUNICIPI,80
REG-CPOS,10
REG-PROV,2
REG-NUMV,5
REG-BLOQ,5
REG-PORT,5
REG-PISO,5
REG-PUER,5
REG-ESCA,5
REG-P-RESI,3
REG-FNAC,8
REG-NACP,3
REG-NACI,3
REG-SEXO,2
REG-ORIG,100
REG-EMAIL,200
REG-TEL1,200
REG-CNAE,4
REG-TRAB,50
REG-PROF,100
REG-IDIOMA,2
REG-PUBLI,1
REG-TERC,1
REG-CIVIL,1
REG-CANA,2
REG-TLF-DOMI,20
REG-AULLCOTF,1
REG-TLF-TRA,20
REG-AULLCOTR,1
REG-EXT-TRA,20
REG-NUM-FAX,20
REG-AULLCOM3,1
REG-TEL-AUX,20
REG-AULLCOM4,1
REG-SMS-COM1,1
REG-INGBRANU,13
REG-FEALEMP,8
REG-CACRREAL,13
REG-REGVIV,2
REG-FECFALL,8
REG-FECOFA,8
REG-SITLAB,2
REG-FAMCAR,2
REG-MECOHA,2
REG-NOMEMP,30
REG-INCODO,1
REG-AUMACO,1
REG-AULLCOM5,1
REG-SMS-COM2,1
REG-ALTABAJA,1
