ic_short_name;ic_sp;ic_pt;field;length;comentarios;repeticiones
DZ2OA;20097;40097;DZ2OA_ORG;3;;1
DZ2OA;20097;40097;DZ2OA_ACCT;19;;1
DZ2OA;20097;40097;DZ2OA_EFF_DATE;8;;1
DZ2OA;20097;40097;DZ2OA_TIME;8;;1
DZ2OA;20097;40097;DZ2OA_CREDIT_PLAN;5;;1
DZ2OA;20097;40097;DZ2OA_TOTAL_SALES_AMOUNT;19;;1
DZ2OA;20097;40097;DZ2OA_AUTH_AMOUNT;19;;1
DZ2OA;20097;40097;DZ2OA_ACTION;1;;1
DZ2OA;20097;40097;DZ2OA_ACTION_REASON;3;;1
DZ2OA;20097;40097;DZ2OA_AUTHORIZATION_CODE;6;;1
DZ2OA;20097;40097;DZ2OA_AUTH_TYPE;1;;1
DZ2OA;20097;40097;DZ2OA_POSTING_DATE;8;;1
DZ2OA;20097;40097;DZ2OA_DAYS_ON_FILE;3;;1
DZ2OA;20097;40097;DZ2OA_CARD_NBR;19;;1
DZ2OA;20097;40097;DZ2OA_CARD_SEQ;4;;1
DZ2OA;20097;40097;DZ2OA_DATA_ENTRY_MODE;2;;1
DZ2OA;20097;40097;DZ2OA_VISA_TRAN_ID;15;;1
DZ2OA;20097;40097;DZ2OA_BNK_NET_NBR;9;;1
DZ2OA;20097;40097;DZ2OA_BNK_NET_DT;4;;1
DZ2OA;20097;40097;"DZ2OA_EXTRACT_DATE";8;;1
DZ2OA;20097;40097;FILLER;135;;34
DZ2OA;20097;40097;DZ2OA_RECORD_DELIMITER;1;;1
ATDWZL;20026;40026;Org;3;;6
ATDWZL;20026;40026;Account;16;;1
ATDWZL;20026;40026;History Date;8;;1
ATDWZL;20026;40026;History Time;6;;1
ATDWZL;20026;40026;Record Type;1;;2
ATDWZL;20026;40026;Alternate Org;3;;1
ATDWZL;20026;40026;Case Number;11;;1
ATDWZL;20026;40026;Alternate History Date;8;;1
ATDWZL;20026;40026;Alternate History Time;6;;1
ATDWZL;20026;40026;Status;1;;5
ATDWZL;20026;40026;Action ASM Org;3;;1
ATDWZL;20026;40026;Action Rep;3;;1
ATDWZL;20026;40026;Action Code;4;;1
ATDWZL;20026;40026;Action Description;20;;1
ATDWZL;20026;40026;Purge Date;8;;1
ATDWZL;20026;40026;Referral ASM Org;3;;1
ATDWZL;20026;40026;Referral Rep;3;;1
ATDWZL;20026;40026;Filler;7;;34
ATDWZL;20026;40026;Transcript Date;8;;1
ATDWZL;20026;40026;Transcript Amount;11;;1
ATDWZL;20026;40026;Transcript Store number;9;;1
